,Unnamed: 0,sub,band,lang,lab,ch,mod,r
200,200,SD010,dp,eng,unlabeled,ROF2,linear,0.04795341260950044
201,201,SD010,dp,eng,unlabeled,ROF2,full,-0.01812892410407601
202,202,SD010,dp,eng,unlabeled,ROF8,linear,-0.0940864173993757
203,203,SD010,dp,eng,unlabeled,ROF8,full,-0.0363694633407673
204,204,SD010,dp,eng,unlabeled,RHB6,linear,-0.09814695028173513
205,205,SD010,dp,eng,unlabeled,RHB6,full,0.0016782184929351506
206,206,SD010,dp,eng,unlabeled,RAC6,linear,-0.1906854576751104
207,207,SD010,dp,eng,unlabeled,RAC6,full,0.022292548619056912
208,208,SD010,dp,eng,unlabeled,LA5,linear,-0.07106464635862662
209,209,SD010,dp,eng,unlabeled,LA5,full,0.0358771420936351
210,210,SD010,dp,eng,unlabeled,RHT5,linear,0.04263387423724509
211,211,SD010,dp,eng,unlabeled,RHT5,full,-0.10935599312732194
212,212,SD010,dp,eng,unlabeled,RA2,linear,0.10885571203817287
213,213,SD010,dp,eng,unlabeled,RA2,full,0.0036546842445421813
214,214,SD010,dp,eng,unlabeled,RA8,linear,-0.08276339489365375
215,215,SD010,dp,eng,unlabeled,RA8,full,-0.03481793742032969
216,216,SD010,dp,eng,unlabeled,ROF10,linear,0.06092681695550178
217,217,SD010,dp,eng,unlabeled,ROF10,full,0.010601384178602105
218,218,SD010,dp,eng,unlabeled,RHH7,linear,-0.10956317536675036
219,219,SD010,dp,eng,unlabeled,RHH7,full,0.012968722818736787
220,220,SD010,dp,eng,labeled,RHB4,linear,0.0030244086902559155
221,221,SD010,dp,eng,labeled,RHB4,full,-0.026924171109721968
222,222,SD010,dp,eng,labeled,RAC4,linear,0.03375066400417092
223,223,SD010,dp,eng,labeled,RAC4,full,-0.06856159098635288
224,224,SD010,dp,eng,labeled,RHT10,linear,0.1112597845397778
225,225,SD010,dp,eng,labeled,RHT10,full,-0.03828160705737811
226,226,SD010,dp,eng,labeled,RHH5,linear,0.09736935972018322
227,227,SD010,dp,eng,labeled,RHH5,full,-0.08141656631092327
228,228,SD010,dp,eng,labeled,LA7,linear,-0.014657291400646854
229,229,SD010,dp,eng,labeled,LA7,full,-0.0938751323574943
230,230,SD010,dp,eng,labeled,RHT7,linear,0.06451680566526936
231,231,SD010,dp,eng,labeled,RHT7,full,-0.13331248789559386
232,232,SD010,dp,eng,labeled,LHH7,linear,0.022967336744197663
233,233,SD010,dp,eng,labeled,LHH7,full,-0.12723980784848524
234,234,SD010,dp,eng,labeled,LHT5,linear,0.03647958335648431
235,235,SD010,dp,eng,labeled,LHT5,full,-0.03959553038385935
236,236,SD010,dp,eng,labeled,LAC6,linear,0.1407256852773665
237,237,SD010,dp,eng,labeled,LAC6,full,-0.1306298831584622
238,238,SD010,dp,eng,labeled,LOF8,linear,0.05198160736142179
239,239,SD010,dp,eng,labeled,LOF8,full,-0.07852319670969465
240,240,SD010,dp,eng,labeled,LOF2,linear,0.06682448300807553
241,241,SD010,dp,eng,labeled,LOF2,full,-0.12131444022485055
242,242,SD010,dp,eng,labeled,LOF5,linear,0.10409561156881113
243,243,SD010,dp,eng,labeled,LOF5,full,-0.14728775986612744
244,244,SD010,dp,eng,labeled,LAC1,linear,0.22629911104704456
245,245,SD010,dp,eng,labeled,LAC1,full,-0.30313138123195715
246,246,SD010,dp,eng,labeled,LHT8,linear,0.11170786282420307
247,247,SD010,dp,eng,labeled,LHT8,full,-0.07077023302478265
248,248,SD010,dp,eng,labeled,LHT2,linear,0.014338730523097944
249,249,SD010,dp,eng,labeled,LHT2,full,-0.1930121074269052
250,250,SD010,dp,eng,labeled,RA10,linear,-0.06361910317143503
251,251,SD010,dp,eng,labeled,RA10,full,-0.08273976973745735
252,252,SD010,dp,eng,labeled,RA7,linear,0.09209823692591176
253,253,SD010,dp,eng,labeled,RA7,full,-0.1317554785842035
254,254,SD010,dp,eng,labeled,RHH2,linear,0.011178487006550645
255,255,SD010,dp,eng,labeled,RHH2,full,-0.14814470835946975
256,256,SD010,dp,eng,labeled,RHH8,linear,-0.1070272624589355
257,257,SD010,dp,eng,labeled,RHH8,full,-0.11309195977878825
258,258,SD010,dp,eng,labeled,ROF7,linear,0.030482259522372875
259,259,SD010,dp,eng,labeled,ROF7,full,-0.08382336950956837
260,260,SD010,dp,eng,labeled,LAC10,linear,0.05347078635556956
261,261,SD010,dp,eng,labeled,LAC10,full,0.0017021242261537886
262,262,SD010,dp,eng,labeled,RAC9,linear,0.05270312385505643
263,263,SD010,dp,eng,labeled,RAC9,full,-0.0915497204131206
264,264,SD010,dp,eng,labeled,RHB9,linear,0.07449398067443509
265,265,SD010,dp,eng,labeled,RHB9,full,-0.04273647936471865
266,266,SD010,dp,eng,labeled,RHB3,linear,-0.01354046352992678
267,267,SD010,dp,eng,labeled,RHB3,full,-0.07557645199033597
268,268,SD010,dp,eng,labeled,RAC3,linear,0.06722559911934682
269,269,SD010,dp,eng,labeled,RAC3,full,-0.026955200109273148
270,270,SD010,dp,eng,labeled,ROF9,linear,0.03949081392793901
271,271,SD010,dp,eng,labeled,ROF9,full,-0.032445559153424244
272,272,SD010,dp,eng,labeled,ROF3,linear,-0.029607283271224562
273,273,SD010,dp,eng,labeled,ROF3,full,-0.03182564189926844
274,274,SD010,dp,eng,labeled,RAC7,linear,0.06814131508111075
275,275,SD010,dp,eng,labeled,RAC7,full,-0.12297065525078035
276,276,SD010,dp,eng,labeled,RHB7,linear,-0.13829413405899396
277,277,SD010,dp,eng,labeled,RHB7,full,-0.16611295803414874
278,278,SD010,dp,eng,labeled,RHH10,linear,0.020685434510403732
279,279,SD010,dp,eng,labeled,RHH10,full,-0.058001610516707575
280,280,SD010,dp,eng,labeled,RA9,linear,-0.029974799321908007
281,281,SD010,dp,eng,labeled,RA9,full,-0.1219754542120992
282,282,SD010,dp,eng,labeled,RHT4,linear,0.0528338877814404
283,283,SD010,dp,eng,labeled,RHT4,full,-0.07863157632057245
284,284,SD010,dp,eng,labeled,RA3,linear,0.008255408327611891
285,285,SD010,dp,eng,labeled,RA3,full,-0.030045657747625014
286,286,SD010,dp,eng,labeled,LA4,linear,0.09644956852897256
287,287,SD010,dp,eng,labeled,LA4,full,-0.2032261787611817
288,288,SD010,dp,eng,labeled,RHH6,linear,0.053771250249467085
289,289,SD010,dp,eng,labeled,RHH6,full,-0.124736409099073
290,290,SD010,dp,eng,labeled,LHT6,linear,0.08850593301169776
291,291,SD010,dp,eng,labeled,LHT6,full,0.04530789932770565
292,292,SD010,dp,eng,labeled,RHB10,linear,0.10181178805567433
293,293,SD010,dp,eng,labeled,RHB10,full,-0.0044099115875433905
294,294,SD010,dp,eng,labeled,LHH4,linear,0.07531075139516306
295,295,SD010,dp,eng,labeled,LHH4,full,-0.1876821017763847
296,296,SD010,dp,eng,labeled,LOF1,linear,0.0013264325575843012
297,297,SD010,dp,eng,labeled,LOF1,full,-0.005771035963540468
298,298,SD010,dp,eng,labeled,LOF10,linear,0.0992136531002265
299,299,SD010,dp,eng,labeled,LOF10,full,-0.10452061192344453
300,300,SD010,dp,eng,labeled,LAC5,linear,0.059537527506449535
301,301,SD010,dp,eng,labeled,LAC5,full,-0.1492972931329873
302,302,SD010,dp,eng,labeled,LAC8,linear,0.0016203130439804562
303,303,SD010,dp,eng,labeled,LAC8,full,-0.039570181245515784
304,304,SD010,dp,eng,labeled,LAC2,linear,0.18720993636758249
305,305,SD010,dp,eng,labeled,LAC2,full,-0.2440280248376219
306,306,SD010,dp,eng,labeled,LOF6,linear,0.20770962678431934
307,307,SD010,dp,eng,labeled,LOF6,full,-0.24488772477299026
308,308,SD010,dp,eng,labeled,LHH3,linear,0.0911015401132628
309,309,SD010,dp,eng,labeled,LHH3,full,-0.19878293521636134
310,310,SD010,dp,eng,labeled,LHH9,linear,0.061660728276774275
311,311,SD010,dp,eng,labeled,LHH9,full,-0.11579183799840193
312,312,SD010,dp,eng,labeled,LHT1,linear,0.07996990222486039
313,313,SD010,dp,eng,labeled,LHT1,full,-0.2311100443231933
314,314,SD010,dp,eng,labeled,RHH1,linear,-0.010443171614117558
315,315,SD010,dp,eng,labeled,RHH1,full,-0.2984224190008366
316,316,SD010,dp,eng,labeled,LA9,linear,0.1920168496560408
317,317,SD010,dp,eng,labeled,LA9,full,-0.19595987829839207
318,318,SD010,dp,eng,labeled,RHT9,linear,-0.12135334906289293
319,319,SD010,dp,eng,labeled,RHT9,full,-0.07556128831581667
320,320,SD010,dp,eng,labeled,RA4,linear,0.019598982041925755
321,321,SD010,dp,eng,labeled,RA4,full,-0.008013860952478762
322,322,SD010,dp,eng,labeled,RHT3,linear,-0.05346713842735105
323,323,SD010,dp,eng,labeled,RHT3,full,-0.13543406808529448
324,324,SD010,dp,eng,labeled,LA3,linear,0.11908348056458892
325,325,SD010,dp,eng,labeled,LA3,full,-0.2236534276810718
326,326,SD010,dp,eng,labeled,ROF4,linear,0.02609701199465197
327,327,SD010,dp,eng,labeled,ROF4,full,0.045279805341281586
328,328,SD010,dp,eng,labeled,RA6,linear,0.00436520632468763
329,329,SD010,dp,eng,labeled,RA6,full,-0.09652821165396516
330,330,SD010,dp,eng,labeled,RHT1,linear,-0.11877169302755128
331,331,SD010,dp,eng,labeled,RHT1,full,-0.2044650555539505
332,332,SD010,dp,eng,labeled,LA1,linear,0.09073699612955832
333,333,SD010,dp,eng,labeled,LA1,full,-0.040450612736148375
334,334,SD010,dp,eng,labeled,RHH9,linear,-0.016123518273276426
335,335,SD010,dp,eng,labeled,RHH9,full,-0.060963837669847636
336,336,SD010,dp,eng,labeled,RHH3,linear,0.03476573934400403
337,337,SD010,dp,eng,labeled,RHH3,full,-0.09530851278904813
338,338,SD010,dp,eng,labeled,ROF6,linear,0.004325875203125355
339,339,SD010,dp,eng,labeled,ROF6,full,-0.006722593396284514
340,340,SD010,dp,eng,labeled,RAC2,linear,-0.029175361424980693
341,341,SD010,dp,eng,labeled,RAC2,full,-0.06228055881205855
342,342,SD010,dp,eng,labeled,RHB2,linear,-0.001517088333511393
343,343,SD010,dp,eng,labeled,RHB2,full,-0.15768029612401355
344,344,SD010,dp,eng,labeled,RHB8,linear,-0.09736074051328487
345,345,SD010,dp,eng,labeled,RHB8,full,0.018710295549278114
346,346,SD010,dp,eng,labeled,RAC8,linear,-0.06935139698089131
347,347,SD010,dp,eng,labeled,RAC8,full,0.023758002844802763
348,348,SD010,dp,eng,labeled,LOF4,linear,0.02609472297246377
349,349,SD010,dp,eng,labeled,LOF4,full,-0.029056354907226824
350,350,SD010,dp,eng,labeled,LHT3,linear,0.029535756330749962
351,351,SD010,dp,eng,labeled,LHT3,full,-0.11813215439814995
352,352,SD010,dp,eng,labeled,LHT9,linear,0.06982938404455426
353,353,SD010,dp,eng,labeled,LHT9,full,-0.08799701699109415
354,354,SD010,dp,eng,labeled,RAC10,linear,0.07768626081129798
355,355,SD010,dp,eng,labeled,RAC10,full,-0.12306467943574155
356,356,SD010,dp,eng,labeled,LHH1,linear,0.053146766337571504
357,357,SD010,dp,eng,labeled,LHH1,full,-0.1198203204504692
358,358,SD010,dp,eng,labeled,LHH6,linear,0.04769992023884068
359,359,SD010,dp,eng,labeled,LHH6,full,-0.12321892753702288
360,360,SD010,dp,eng,labeled,LHT4,linear,-0.017452229991737424
361,361,SD010,dp,eng,labeled,LHT4,full,-0.06656068025835246
362,362,SD010,dp,eng,labeled,LHT10,linear,0.0593380270836361
363,363,SD010,dp,eng,labeled,LHT10,full,-0.10025264653070663
364,364,SD010,dp,eng,labeled,LAC7,linear,0.03196971138805887
365,365,SD010,dp,eng,labeled,LAC7,full,-0.0696843373197594
366,366,SD010,dp,eng,labeled,LOF3,linear,0.07557726583429122
367,367,SD010,dp,eng,labeled,LOF3,full,-0.11745017087724255
368,368,SD010,dp,eng,labeled,LOF9,linear,0.05390876459131196
369,369,SD010,dp,eng,labeled,LOF9,full,-0.029228786771477864
370,370,SD010,dp,eng,labeled,RAC5,linear,0.05255725714840336
371,371,SD010,dp,eng,labeled,RAC5,full,-0.08409418732986694
372,372,SD010,dp,eng,labeled,RHB5,linear,0.11223755297752787
373,373,SD010,dp,eng,labeled,RHB5,full,-0.13709105206849692
374,374,SD010,dp,eng,labeled,ROF1,linear,0.07499037052549835
375,375,SD010,dp,eng,labeled,ROF1,full,-0.07494122272920235
376,376,SD010,dp,eng,labeled,RHH4,linear,0.036246420543100566
377,377,SD010,dp,eng,labeled,RHH4,full,-0.09787298330792016
378,378,SD010,dp,eng,labeled,RHT6,linear,0.0910721722096928
379,379,SD010,dp,eng,labeled,RHT6,full,-0.19101288676107248
380,380,SD010,dp,eng,labeled,RA1,linear,0.01535083362171934
381,381,SD010,dp,eng,labeled,RA1,full,-0.1079672202593403
382,382,SD010,dp,eng,labeled,LA6,linear,0.008742956462216971
383,383,SD010,dp,eng,labeled,LA6,full,-0.07357772483730575
384,384,SD010,dp,eng,labeled,LA2,linear,0.1584683501737211
